PubID,PubMedID,PubYear,NumPts,NumIsolates,NumLANLIsolates,Title,Authors,Subtypes,RxStatus,Notes
PM26763952,26763952,2016,,19,18,"Geographic origin and evolutionary history of China's two predominant HIV-1 circulating recombinant forms, CRF07_BC and CRF08_BC","Feng,Y., Takebe,Y., Wei,H., He,X., Hsi,J.H., Li,Z., Xing,H., Ruan,Y., Yang,Y., Li,F., Wei,J., Li,X. and Shao,Y.",07_BC; 08_BC; BC,Naive,
HSxxLW4SgONIjbgppByJ3qmQ,,,,40,17,A comprehensive panel of infectious molecular clones derived from HIV isolates of BBI subtype infectivity panel,"Takekawa,N., Takeda,S., Uchiyama,C. and Tatsumi,M.",01_AE; 02_AG; 06_cpx; A1; B; C; D; F1; G; U,Unpublished,
PM18184088,18184088,2007,,17,17,Characterization of near full-length genomes of HIV type 1 strains in Denmark: basis for a universal therapeutic vaccine,"Andresen,B.S., Vinner,L., Tang,S., Bragstad,K., Kronborg,G., Gerstoft,J., Corbet,S. and Fomsgaard,A.",B; C,Naive,
PM27403940,27403940,2016,,,17,Viral Evolution and Cytotoxic T Cell Restricted Selection in Acute Infant HIV-1 Infection,"Garcia-Knight,M.A., Slyker,J., Payne,B.L., Pond,S.L., de Silva,T.I., Chohan,B., Khasimwa,B., Mbori-Ngacha,D., John-Stewart,G., Rowland-Jones,S.L. and Esbjornsson,J.",A1; A1A2; A1A2D; A1C; A1D; CD,PINaive,
PM27500724,27500724,2016,,218,17,Defective proviruses rapidly accumulate during acute HIV-1 infection,"Bruner,K.M., Murray,A.J., Pollack,R.A., Soliman,M.G., Laskey,S.B., Capoferri,A.A., Lai,J., Strain,M.C., Lada,S.M., Hoh,R., Ho,Y.C., Richman,D.D., Deeks,S.G., Siliciano,J.D. and Siliciano,R.F.",B,Naive,
HSecSgCDpCoOJMR-eUwICR_g,,2017,,,16,Direct Submission,"Cuevas,M.T., Sanchez,M., Carrera,C., Delgado,E., Thomson,M. and Perez Alvarez,L.",02_AG; 14F1; A1; B; BCG; C; F1,Unpublished,
HSsMonnuljMpTQVCNtJGl6FQ,,,,31,16,Genetic characterization of HIV-1 strains among different risk group of Nepalese patient from central region of Nepal,"Bhusal,N., Sutthent,R., Horthongkham,N., Kantakamalakul,W. and Athipanyasilp,N.",01C; C,Check,Similar to above
PM23300654,23300654,2012,,31,16,A New Migration Map of HIV-1 CRF07_BC in China: Analysis of Sequences from 12 Provinces over a Decade,"Meng,Z., Xin,R., Zhong,P., Zhang,C., Abubakar,Y.F., Li,J., Liu,W., Zhang,X. and Xu,J.",07_BC,Unknown,Check - ? 15 with complete Gag
PM26599410,26599410,2015,,16,16,Phylogeny and Phylogeography of a Recent HIV-1 Subtype F Outbreak among Men Who Have Sex with Men in Spain Deriving from a Cluster with a Wide Geographic Circulation in Western Europe,"Delgado,E., Cuevas,M.T., Dominguez,F., Vega,Y., Cabello,M., Fernandez-Garcia,A., Perez-Losada,M., Castro,M.A., Montero,V., Sanchez,M., Marino,A., Alvarez,H., Ordonez,P., Ocampo,A., Miralles,C., Perez-Castro,S., Lopez-Alvarez,M.J., Rodriguez,R., Trigo,M., Diz-Aren,J., Hinojosa,C., Bachiller,P., Hernaez-Crespo,S., Cisterna,R., Garduno,E., Perez-Alvarez,L. and Thomson,M.M.",F1,Naive,
PM28178737,28178737,,,,16,"HIV-1 genetic evolution and recombinant patterns among the newly diagnosed HIV-1 individuals in Hebei Province, China","Lu,X.",01B; 01BC; 01C; 01_AE; BC,Naive,
HS8sbdLBJk-Tl8GLZmDGR0hQ,,,,54,15,Impaired fitness of acute/early viruses in persons who become HIV controllers,"Miura,T.",A3; B,Unpublished,
PM16225416,16225416,,,35,15,HIV-1 sequence diversity and dual infections in Kenya,"Steain,M.C., Wang,B., Yang,C., Li,M., Nahlen,B., Lal,R.B. and Saksena,N.K.",A1; A1D; A2D; D,Unknown,
PM21645646,21645646,2011,,25,15,"High genetic diversity of HIV-1 was found in men who have sex with men in Shijiazhuang, China","Li,L., Lu,X., Li,H., Chen,L., Wang,Z., Liu,Y., Bao,Z., Li,T., Tian,C., Liu,H., Zhuang,D., Liu,S. and Li,J.",01_AE; 07_BC; B,Naive,
PM21690407,21690407,,,18,15,Coordinately linked sites in HIV evolution reveal regions of immunologic vulnerability,"Miura,T.",B,Naive,
PM24390323,24390323,2014,,55,15,HLA-B*57 Elite Suppressor and Chronic Progressor HIV-1 Isolates Replicate Vigorously and Cause CD4+ T Cell Depletion in Humanized BLT Mice,"Salgado,M., Swanson,M.D., Pohlmeyer,C.W., Buckheit,R.W. III, Wu,J., Archin,N.M., Williams,T.M., Margolis,D.M., Siliciano,R.F., Garcia,J.V. and Blankson,J.N.",B,Mixed,
PM25401747,25401747,2014,,25,15,"Deep Sequencing of HIV-1 near Full-Length Proviral Genomes Identifies High Rates of BF1 Recombinants Including Two Novel Circulating Recombinant Forms (CRF) 70_BF1 and a Disseminating 71_BF1 among Blood Donors in Pernambuco, Brazil","Pessoa,R., Watanabe,J.T., Calabria,P., Felix,A.C., Loureiro,P., Sabino,E.C., Busch,M.P. and Sanabani,S.S.",70_BF1; 71_BF1; BF1,Naive,
PM16522378,16522378,2006,,14,14,"Analysis of the near full length genomes of HIV-1 subtypes B, F and BF recombinant from a cohort of 14 patients in Sao Paulo, Brazil","Sanabani,S., Kleine Neto,W., Kalmar,E.M., Diaz,R.S., Janini,L.M. and Sabino,E.C.",46_BF; 71_BF1; B; BF1,Rx-PI,
PM19113978,19113978,2009,,28,14,Development of a panel of well-characterized human immunodeficiency virus type 1 isolates from newly diagnosed patients including acute and recent infections,"Fernandez-Garcia,A., Cuevas,M.T., Munoz-Nieto,M., Ocampo,A., Pinilla,M., Garcia,V., Serrano-Bengoechea,E., Lezaun,M.J., Delgado,E., Thomson,M., Gonzalez-Galeano,M., Contreras,G., Najera,R. and Perez-Alvarez,L.",02_AG; B; C; G,Mixed,
PM19116253,19116253,2009,,17,14,HLA-B57/B*5801 human immunodeficiency virus type 1 elite controllers select for rare gag variants associated with reduced viral replication capacity and strong cytotoxic T-lymphotye recognition,"Miura,T., Brockman,M.A., Schneidewind,A., Lobritz,M., Pereyra,F., Rathod,A., Block,B.L., Brumme,Z.L., Brumme,C.J., Baker,B., Rothchild,A.C., Li,B., Trocha,A., Cutrell,E., Frahm,N., Brander,C., Toth,I., Arts,E.J., Allen,T.M. and Walker,B.D.",B,Naive,
PM28077647,28077647,2017,,,14,Sensitive next generation sequencing method reveals deep genetic diversity of HIV-1 in the Democratic Republic of the Congo,"Rodgers,M.A., Wilkinson,E., Vallari,A., McArthur,C., Sthreshley,L., Brennan,C.A., Cloherty,G. and de Oliveira,T.",A1G; A1GH; CU; D; F1F2; H; J; U,ProbablyNaive,
PM11177395,11177395,2001,,13,13,Near full-length clones and reference sequences for subtype C isolates of HIV type 1 from three different continents,"Rodenburg,C.M., Li,Y., Trask,S.A., Chen,Y., Decker,J., Robertson,D.L., Kalish,M.L., Shaw,G.M., Allen,S., Hahn,B.H. and Gao,F.",07_BC; 08_BC; C,Rx-PI,
PM11709098,11709098,2001,,20,13,Genetic analysis of the complete gag and env genes of HIV type 1 subtype C primary isolates from South Africa,"Engelbrecht,S., de Villiers,T., Sampson,C.C., zur Megede,J., Barnett,S.W. and van Rensburg,E.J.",C,Unknown,
PM15989463,15989463,,,34,13,"Full length genome analysis of HIV-1 viral evolution, and date of origin in an American cohort","Mikhail,M., Wang,B., Lemey,P., Lal,R.B., Yang,C., Vandamme,A.-M., Owen,S.M., Spira,T. and Saksena,N.K.",B,Rx,
PM18284321,18284321,,,294,13,High frequency of gross deletions in the 5' LTR and gag regions in HIV type 1-infected long-term survivors treated with Korean red ginseng,"Cho,Y.K. and Jung,Y.S.",B,Incomplete,
PM20528151,20528151,2010,,26,13,"Genetic characterization of 13 subtype CRF01_AE near full-length genomes in Guangxi, China","Li,L., Liang,S., Chen,L., Liu,W., Li,H., Liu,Y., Bao,Z., Wang,Z., Zhuang,D., Liu,S. and Li,J.",01_AE,Unknown,
PM21613398,21613398,2011,,478,13,Virological and Immunological Factors Associated with HIV-1 Differential Disease Progression in HLA-B*58:01-Positive Individuals,"Chopera,D.R., Mlotshwa,M., Woodman,Z., Mlisana,K., de Assis Rosa,D., Martin,D.P., Abdool Karim,S., Gray,C.M. and Williamson,C.",C,ProbablyNaive,
PM28069935,28069935,2017,,,13,Resistance to type 1 interferons is a major determinant of HIV-1 transmission fitness,"Iyer,S.S., Bibollet-Ruche,F., Sherrill-Mix,S., Learn,G.H., Plenderleith,L., Smith,A.G., Barbian,H.J., Russell,R.M., Gondim,M.V., Bahari,C.Y., Shaw,C.M., Li,Y., Decker,T., Haynes,B.F., Shaw,G.M., Sharp,P.M., Borrow,P. and Hahn,B.H.",B; C; CD,Naive,
HS5iQLKRUvPxd_NoNQ9QwU9A,,,,390,12,Transmission of Homogenous Gag after HIV Infection is not dependent on pressure from CTL escape,"Klatt,N.R., Hawkins,P., Lumm,W., Farmer,P., Bansal,A., Mulenga,J., Yue,L., Allen,S., Derdeyn,C.A., Goepfert,P.A. and Hunter,E.",C,Unpublished,
HSuHZg78AeRoHfbdfGF34ZWQ,,,,50,12,Complex Pathways of HIV Immune Escape,"Wolinsky,S., Kunstman,K., Funkhouser,R., Bhattacharya,T. and Korber,B.",B,Unpublished,
HSw1Ml4BFzYLnMjHTW60IHCg,,2016,,12,12,Direct Submission,"Cuevas,T., Sanchez,M., Delgado,E., Carrera,C., Montero,V., Benito,S., Thomson,M. and Perez-Alvarez,L.",02A; 19_cpx; B; G,Unpublished,
PM17919103,17919103,2007,,12,12,Characterization of the full-length human immunodeficiency virus-1 genome from recently infected subjects in Brazil,"Sa-Filho,D., Kallas,E.G., Sanabani,S., Sabino,E., Sucupira,M.C., Sanchez-Rosa,A.C., Tescarollo,G., Tomiyama,H., Bassichetto,K., Janini,L.M. and Diaz,R.S.",B; BF,Naive,
PM18620491,18620491,2008,,12,12,"Analysis of near full-length genomic sequences of drug-resistant HIV-1 spreading among therapy-naive individuals in Nagoya, Japan: amino acid mutations associated with viral replication activity","Ibe,S., Shigemi,U., Sawaki,K., Fujisaki,S., Hattori,J., Yokomaku,Y., Mamiya,N., Hamaguchi,M. and Kaneda,T.",B,Naive,
PM19320602,19320602,2009,,16,12,"First detection of a novel HIV Type 1 CRF01_AE/07_BC recombinant among an epidemiologically linked cohort of IDUs in Jiangsu, China","Guo,H., Guo,D., Wei,J.F., Yang,H., Huan,X., Tsui,S.K., Yang,R. and Zhang,C.",0107; BC,Unknown,
PM19487424,19487424,2009,,205,12,"Genetic identity, biological phenotype, and evolutionary pathways of transmitted/founder viruses in acute and early HIV-1 infection","Salazar-Gonzalez,J.F., Salazar,M.G., Keele,B.F., Learn,G.H., Giorgi,E.E., Li,H., Decker,J.M., Wang,S., Baalwa,J., Kraus,M.H., Parrish,N.F., Shaw,K.S., Guffey,M.B., Bar,K.J., Davis,K.L., Ochsenbauer-Jambor,C., Kappes,J.C., Saag,M.S., Cohen,M.S., Mulenga,J., Derdeyn,C.A., Allen,S., Hunter,E., Markowitz,M., Hraber,P., Perelson,A.S., Bhattacharya,T., Haynes,B.F., Korber,B.T., Hahn,B.H. and Shaw,G.M.",B; C,Naive,
PM21264856,21264856,2011,,21,12,Characterization of HIV-1 from patients with virological failure to a boosted protease inhibitor regimen,"Lillemark,M.R., Gerstoft,J., Obel,N., Kronborg,G., Pedersen,C., Jorgensen,L.B., Madsen,T.V. and Katzenstein,T.L.",01_AE; B,Rx-PI,
PM21740272,21740272,2012,,15,12,Near Full-Length Sequence Analysis of HIV Type 1 BF Recombinants from Italy,"Saladini,F., Foley,B.T., Rosi,A., Vicenti,I., Nannetti,G., Meini,G., Razzolini,F. and Zazzi,M.",BF1,Unknown,
PM22549382,22549382,2012,,13,12,CRF22_01A1 is Involved in the Emergence of New HIV-1 Recombinants in Cameroon,"Zhao,J., Tang,S., Ragupathy,V., Gaddam,D., Wang,X., Zhang,P., Nyambi,P.N. and Hewlett,I.",01F2G; 0222; 02B; 02F2G; 22_01A1,Mixed,
PM23123038,23123038,2013,,216,12,"Molecular identification, cloning and characterization of transmitted/founder HIV-1 subtype A, D and A/D infectious molecular clones","Baalwa,J., Wang,S., Parrish,N.F., Decker,J.M., Keele,B.F., Learn,G.H., Yue,L., Ruzagira,E., Ssemwanga,D., Kamali,A., Amornkul,P.N., Price,M.A., Kappes,J.C., Karita,E., Kaleebu,P., Sanders,E., Gilmour,J., Allen,S., Hunter,E., Montefiori,D.C., Haynes,B.F., Cormier,E., Hahn,B.H. and Shaw,G.M.",A1; A1D; D,Naive,
PM25413141,25413141,2014,,40,12,Enhanced detection of viral diversity using partial and near full-length genomes of human immunodeficiency virus Type 1 provirus deep sequencing data from recently infected donors at four blood centers in Brazil,"Pessoa,R., Watanabe,J.T., Calabria,P., Alencar,C.S., Loureiro,P., Lopes,M.E., Proetti,A.B., Felix,A.C., Sabino,E.C., Busch,M.P. and Sanabani,S.S.",70_BF1; B; BC; BCF1; BF1; CF1,Naive,
HSwtq3rcVCCYI1gHJEiPxTKg,,,,30,11,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",B,Unpublished,
PM18691031,18691031,,,30,11,Rapid Increase of HIV-1 Non-B Subtypes and Recombinants Among Newly Diagnosed Native Spaniards,"Holguin,A., de Mulder,M. and Yebra,G.",02C; 02_AG; 06_cpx; 22_01A1; A3,Naive,
PM20438383,20438383,2010,,11,11,Distinct circulating recombinant HIV-1 strains among injecting drug users and sex workers in Afghanistan,"Sanders-Buell,E., Bose,M., Nasir,A., Todd,C.S., Stanekzai,M.R., Tovanabutra,S., Scott,P.T., Strathdee,S.A., Tjaden,J., Michael,N.L. and McCutchan,F.E.",01_AE; 35_AD; A1D,Naive,
PM26375597,26375597,2015,,11,11,Extremely High Mutation Rate of HIV-1 In Vivo,"Cuevas,J.M., Geller,R., Garijo,R., Lopez-Aldeguer,J. and Sanjuan,R.",B,Naive,
PM28628667,28628667,2017,,,11,"Characterization of HIV-1 CRF90_BF1 and putative novel CRFs_BF1 in Central West, North and Northeast Brazilian regions","Reis,M.N.D.G., Bello,G., Guimaraes,M.L. and Stefani,M.M.A.",90_BF1,,
HSIbHTIabTf5raPS-2fJRuJQ,,2012,,49,10,Direct Submission,"Tongo Passo,M.",01F2; 01_AE; 02_AG; A1; D; G,Unpublished,
PM16272358,16272358,2005,,190,10,HIV-1-specific CD8+ T cell responses and viral evolution in women and infants,"Sanchez-Merino,V., Nie,S. and Luzuriaga,K.",B,Naive,
PM16438639,16438639,2006,,10,10,Identification of two HIV type 1 circulating recombinant forms in Brazil,"De Sa Filho,D.J., Sucupira,M.C., Caseiro,M.M., Sabino,E.C., Diaz,R.S. and Janini,L.M.",28_BF; 29_BF; BF1,Naive,
PM17451347,17451347,2007,,10,10,"Genetic Characterization of CRF01_AE Full-Length Human Immunodeficiency Virus Type 1 Sequences from Fujian, China","Huang,H.L., Zheng,J., Yan,P.P., Cheng,L., Lin,X., Zhang,Z.S. and Yang,Y.S.",01_AE,Naive,
PM22251084,22251084,2012,,10,10,The Analysis of Near Full-Length Genome Sequences of HIV Type 1 Subtype A Viruses from Russia Supports the Monophyly of Major Intrasubtype Clusters,"Fernandez-Garcia,A., Revilla,A., Vazquez-de Parga,E., Vinogradova,A., Rakhmanova,A., Karamov,E., Carrera,C., Delgado,E., Perez-Alvarez,L., Najera,R., Osmanov,S. and Thomson,M.M.",A6,Naive,
PM22916738,22916738,2013,,10,10,Molecular Epidemiology of HIV Type 1 Infection in Iran: Genomic Evidence of CRF35_AD Predominance and CRF01_AE Infection Among Individuals Associated with Injection Drug Use,"Jahanbakhsh,F., Ibe,S., Hattori,J., Monavari,S.H.R., Matsuda,M., Maejima,M., Iwatani,Y., Memarnejadian,A., Keyvani,H., Azadmanesh,K. and Sugiura,W.",01_AE; 35_AD,Naive,
PM23221345,23221345,,,1031,10,Vertical T cell immunodominance and epitope entropy determine HIV-1 escape,"Liu,M.K., Hawkins,N., Ritchie,A.J., Ganusov,V.V., Whale,V., Brackenridge,S., Li,H., Pavlicek,J.W., Cai,F., Rose-Abrahams,M., Treurnicht,F., Hraber,P., Riou,C., Gray,C., Ferrari,G., Tanner,R., Ping,L.H., Anderson,J.A., Swanstrom,R., Cohen,M., Karim,S.S., Haynes,B., Borrow,P., Perelson,A.S., Shaw,G.M., Hahn,B.H., Williamson,C., Korber,B.T., Gao,F., Self,S., McMichael,A. and Goonetilleke,N.",B; C,Naive,
PM27169981,27169981,2016,,10,10,"Identification of a Novel HIV-1 Circulating Recombinant Form (CRF85_BC) in Sichuan, China","Su,L., Wei,D., Yang,H., Zeng,Y., Hu,Y., Yuan,D., Feng,L., Ruan,Y., Qin,G. and Liang,S.",85_BC,Naive,
PM11981372,11981372,2002,,18,9,"Identification of a newly characterized HIV-1 BG intersubtype circulating recombinant form in Galicia, Spain, which exhibits a pseudotype-like virion structure","Delgado,E., Thomson,M.M., Villahermosa,M.L., Sierra,M., Ocampo,A., Miralles,C., Rodriguez-Perez,R., Diz-Aren,J., Ojea-de Castro,R., Losada,E., Cuevas,M.T., Vazquez-de Parga,E., Carmona,R., Perez-Alvarez,L., Medrano,L., Cuevas,L., Taboada,J.A. and Najera,R.",14_BG; BG; G,Mixed,
PM12596727,12596727,2003,,29,9,Characterization of gag gene of plasma HIV type 1 in combination therapy-treated AIDS patients with high viral load and stable CD4+ T cell counts,"Saurya,S., Lichtenstein,Z. and Karpas,A.",B,Rx-PI,
PM14502011,14502011,,,9,9,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",01B; 01BC; 01_AE; B; BC; C,Naive,
PM17982054,17982054,2007,,72,9,Increased sequence diversity coverage improves detection of HIV-specific T cell responses,"Frahm,N., Kaufmann,D.E., Yusim,K., Muldoon,M., Kesmir,C., Linde,C.H., Fischer,W., Allen,T.M., Li,B., McMahon,B.H., Faircloth,K.L., Hewitt,H.S., Mackey,E.W., Miura,T., Khatri,A., Wolinsky,S., McMichael,A., Funkhouser,R.K., Walker,B.D., Brander,C. and Korber,B.T.",AKU; B,Unknown,
PM18544023,18544023,2008,,13,9,"Full-length HIV type 1 proviral sequencing of 10 highly exposed women from Nairobi, Kenya reveals a high proportion of intersubtype recombinants","Land,A.M., Ball,T.B., Luo,M., Rutherford,J., Sarna,C., Wachihi,C., Kimani,J. and Plummer,F.A.",A1; A1CD; A1CG; A1D; A2CD; CD,Naive,
PM21593162,21593162,2011,,474,9,Demographic processes affect HIV-1 evolution in primary infection before the onset of selective processes,"Herbeck,J.T., Rolland,M., Liu,Y., McLaughlin,S., McNevin,J., Zhao,H., Wong,K., Stoddard,J.N., Raugi,D., Sorensen,S., Genowati,I., Birditt,B., McKay,A., Diem,K., Maust,B.S., Deng,W., Collier,A.C., Stekler,J.D., McElrath,M.J. and Mullins,J.I.",B,Naive,
PM22176121,22176121,2012,,10,9,"Characterization of Primary Isolates of HIV Type 1 CRF28_BF, CRF29_BF, and Unique BF Recombinants Circulating in Sao Paulo, Brazil","Melo,F.L., Jamal,L.F. and Zanotto,P.M.",28_BF; 29_BF; BF1,Rx,
PM22269972,22269972,2012,,33,9,Tracing the origin and history of HIV-1 subtype B' epidemic by near full-length genome analyses,"Li,Z., He,X., Wang,Z., Xing,H., Li,F., Yang,Y., Wang,Q., Takebe,Y. and Shao,Y.",B,Naive,
PM22587412,22587412,2012,,9,9,Two Unique Recombinant Forms Identified in Incident HIV Type 1 Infections in Thai Blood Donors,"Rutvisuttinunt,W., Sirivichayakul,S., Oota,S., Assawadarachai,V., Poltavee,K., Savadsuk,H., Pattanachaiwit,S., Chaemchuen,S., Arroyo,M.A., Paris,R.M., Michael,N.L., Kim,J.H., Ruxrungtham,K., de Souza,M., Phanuphak,P. and Tovanabutra,S.",01B; 01_AE; B,Naive,
PM23372706,23372706,2013,,130,9,New Emerging Recombinant HIV-1 Strains and Close Transmission Linkage of HIV-1 Strains in the Chinese MSM Population Indicate a New Epidemic Risk,"Wu,J., Meng,Z., Xu,J., Lei,Y., Jin,L., Zhong,P., Han,R. and Su,B.",01BC; 55_01B; 65_cpx; 67_01B; 68_01B,Naive,
PM27432972,27432972,2016,,206,9,Defective HIV-1 proviruses produce novel protein-coding RNA species in HIV-infected patients on combination antiretroviral therapy,"Imamichi,H., Dewar,R.L., Adelsberger,J.W., Rehm,C.A., O'Doherty,U., Paxinos,E.E., Fauci,A.S. and Lane,H.C.",B; BF1,Mixed,
PM27783600,27783600,2016,,,9,1970s and 'Patient 0' HIV-1 genomes illuminate early HIV/AIDS history in North America,"Worobey,M., Watts,T.D., McKay,R.A., Suchard,M.A., Granade,T., Teuwen,D.E., Koblin,B.A., Heneine,W., Lemey,P. and Jaffe,H.W.",B,Naive,
HSVzSzS1_PPj-wbn8nqaQ1Gw,,,,,8,Utility of Unbiased Next-Generation Sequencing for Characterization of HIV Diversity,"Luk,K.-C., Berg,M.G., Naccache,S.N., Kabre,B., Federman,S., Mbanya,D., Kaptue,L., Chiu,C.Y., Brennan,C.A. and Hackett,J. Jr.",0102A; 01A1; 11_cpx; A1G; F2,,
PM10196340,10196340,1999,,23,8,Molecular cloning and phylogenetic analysis of human immunodeficiency virus type 1 subtype C: a set of 23 full-length clones from Botswana,"Novitsky,V.A., Montano,M.A., McLane,M.F., Renjifo,B., Vannberg,F., Foley,B.T., Ndung'u,T.P., Rahman,M., Makhema,M.J., Marlink,R. and Essex,M.",C,Naive,
PM11752707,11752707,2002,,16,8,Diversity of mosaic structures and common ancestry of human immunodeficiency virus type 1 BF intersubtype recombinant viruses from Argentina revealed by analysis of near full-length genome sequences,"Thomson,M.M., Delgado,E., Herrero,I., Villahermosa,M.L., Vazquez-de Parga,E., Cuevas,M.T., Carmona,R., Medrano,L., Perez-Alvarez,L., Cuevas,L. and Najera,R.",12_BF; BF,Naive,
PM15585105,15585105,2004,,8,8,Analysis of near full-length genome sequences of HIV type 1 BF intersubtype recombinant viruses from Brazil reveals their independent origins and their lack of relationship to CRF12_BF,"Thomson,M.M., Sierra,M., Tanuri,A., May,S., Casado,G., Manjon,N. and Najera,R.",29_BF; BF; BF1,Mixed,
PM17031320,17031320,2006,,8,8,"Identification of a novel circulating recombinant form (CRF33_01B) disseminating widely among various risk populations in Kuala Lumpur, Malaysia","Tee,K.K., Li,X.J., Nohtomi,K., Ng,K.P., Kamarulzaman,A. and Takebe,Y.",01B; 33_01B; 52_01B; 53_01B,Naive,
PM19678767,19678767,2009,,8,8,"Genetic characterization of eight full-length HIV type 1 genomes from the Democratic Republic of Congo (DRC) reveal a new subsubtype, A5, in the A radiation that predominates in the recombinant structure of CRF26_A5U","Vidal,N., Bazepeo,S.E., Mulanga,C., Delaporte,E. and Peeters,M.",26C; 26CU; 26_A5U,Naive,
PM24279614,24279614,2014,,13,8,"HIV-1 Genetic Diversity in Russia: CRF63_02A1, a New HIV Type 1 Genetic Variant Spreading in Siberia","Baryshev,P.B., Bogachev,V.V. and Gashnikova,N.M.",02A1; 63_02A1; A6,Unknown,
PM26892835,26892835,2016,,9,8,"Recombinant patterns of nine novel HIV-1 recombinant strains identified in Hebei province, China","Lu,X., Liu,Y., Zhao,H., Zhang,Y., Zhao,C., Chen,S., Li,J. and Cui,Z.",01B; 01BC,Naive,
PM9621027,9621027,1998,,16,8,A comprehensive panel of near-full-length clones and reference sequences for non-subtype B isolates of human immunodeficiency virus type 1,"Gao,F., Robertson,D.L., Carruthers,C.D., Morrison,S.G., Jian,B., Chen,Y., Barre-Sinoussi,F., Girard,M., Srinivasan,A., Abimiku,A.G., Shaw,G.M., Sharp,P.M. and Hahn,B.H.",A1C; AG; BF1; D; F1; G; H,Naive,
HSQXG-s4Y1EyGLm6t9KEMmtQ,,,,8,7,Near Full-Length Genome Sequences of HIV-1 CRF06/A1 recombinat forms in Estonian Intravenous Drug Users Population,"Avi,R. and Lutsar,I.",02A1; 32A6; 32G; 32_06A6,Unpublished,
HSxLJdcvAxBfbU0fj8uFpR-Q,,,,143,7,Replication-competent non-induced proviruses in the latent reservoir increase barrier to HIV-1 cure,"Ho,Y.-C., Shan,L., Hosmane,N.N., Wang,J., Laskey,S.B., Rosenbloom,D.I., Lai,J., Blankson,J.N. and Siliciano,R.F.",B,Rx,
PM16103205,16103205,2005,,18,7,Human immunodeficiency virus mutations during the first month of infection are preferentially found in known cytotoxic T-lymphocyte epitopes,"Bernardin,F., Kong,D., Peddada,L., Baxter-Lowe,L.A. and Delwart,E.",B,Naive,
PM17065207,17065207,2007,,18,7,Rapid reversion of sequence polymorphisms dominates early human immunodeficiency virus type 1 evolution,"Li,B., Gladden,A.D., Altfeld,M., Kaldor,J.M., Cooper,D.A., Kelleher,A.D. and Allen,T.M.",A1; B,Naive,
PM17411371,17411371,2007,,94,7,Slow human immunodeficiency virus type 1 evolution in viral reservoirs in infants treated with effective antiretroviral therapy,"Persaud,D., Ray,S.C., Kajdas,J., Ahonkhai,A., Siberry,G.K., Ferguson,K., Ziemniak,C., Quinn,T.C., Casazza,J.P., Zeichner,S., Gange,S.J. and Watson,D.C.",B,Mixed,
PM19895210,19895210,2009,,7,7,Viral genetic determinants of nonprogressive HIV type 1 subtype C infection in antiretroviral drug-naive children,"Tzitzivacos,D.B., Tiemessen,C.T., Stevens,W.S. and Papathanasopoulos,M.A.",C,Naive,
PM22931113,22931113,,,7,7,"Five new CRF07_BC near full-length sequences isolated from Sichuan, China","Meng,Z., Xin,R., Zhang,X. and Xu,J.",07_BC,Naive,
PM26571151,26571151,2016,,7,7,HIV-1 CRF01_AE and Subtype B Transmission Networks Crossover: A New AE/B Recombinant Identified in Japan,"Hosaka,M., Fujisaki,S., Masakane,A., Hattori,J., Shiino,T., Gatanaga,H., Shigemi,U., Okazaki,R., Hachiya,A., Matsuda,M., Ibe,S., Iwatani,Y., Yokomaku,Y. and Sugiura,W.",01B; 69_01B,Naive,
HSzxjyh7ER5g8bbo28-OQedQ,,,,12,6,Infectious HIV-1 molecular clones generated for clonally expanded viruses in chronically infected individuals,"Hora,B., Berg,A., Cai,F., Kumar,A., Chen,S. and Gao,F.",C,Check,
PM15272396,15272396,2004,,7,6,Long-term survivors in Nairobi: complete HIV-1 RNA sequences and immunogenetic associations,"Fang,G., Kuiken,C., Weiser,B., Rowland-Jones,S., Plummer,F., Chen,C.H., Kaul,R., Anzala,A.O., Bwayo,J., Kimani,J., Philpott,S.M., Kitchen,C., Sinsheimer,J.S., Gaschen,B., Lang,D., Shi,B., Kemal,K.S., Rostron,T., Brunner,C., Beddows,S., Sattenau,Q., Paxinos,E., Oyugi,J. and Burger,H.",A1; AC; CD; D,Naive,
PM15585103,15585103,2004,,6,6,"Full-length gag sequences of HIV type 1 subtype C recent seroconverters from Pune, India","Kurle,S., Tripathy,S., Jadhav,S., Agnihotri,K. and Paranjape,R.",C,Naive,
PM15737911,15737911,2005,,6,6,"The analysis of near full-length genome sequences of human immunodeficiency virus type 1 BF intersubtype recombinant viruses from Chile, Venezuela and Spain reveals their relationship to diverse lineages of recombinant viruses related to CRF12_BF","Sierra,M., Thomson,M.M., Rios,M., Casado,G., Castro,R.O., Delgado,E., Echevarria,G., Munoz,M., Colomina,J., Carmona,R., Vega,Y., Parga,E.V., Medrano,L., Perez-Alvarez,L., Contreras,G. and Najera,R.",44_BF; BF; BF1,Rx,
