PubID,PubIDCorrection,PMID,PubYr,NumIsolates,Title,Authors,RxStatus,Notes
,,,,1,Direct Submission,"Carneiro-Proietti,A.B., Goodenow,M., Barbosa,E.F.,",,
,,,,1,Increasing HIV-1 Genetic Diversity and Resistance to Antiretroviral Drugs among Untreated Pregnant W,"Caron,M., Lekana-Douki Etenna,S. and Kazanji,M.",,
,,,,1,Isolation of a Simian Immunodeficiency Virus from the Malbrouck (Chlorocebus cynosuros),"Carr,M., Kawaguchi,A., Sasaki,M., Gonzalez,G., Ito",,
,,,,1,Direct Submission,"Casado,G., Thomson,M., Sierra,M. and Najera,R.",,
,,,,1,Resistence mutations and molecular characterization of HIV-1 isolates from Venezuelan patients with ,"Castro,E., Bouchard,M., Moreno,M. and Echeverria D",,
,,,,1,HIV-1 recombinants among Maipur IDUs,"Chakrabarti,S. and Sarkar,R.",,
,,,,1,Molecular cloning of p24 core nucleocapsid protein gene from Human immunodeficiency virus 1 of an In,"Chavan,Y.G., Mukhopadhyaya,P.N., Acharya,A. and Pu",,
,,,,1,Molecular epidemiology and drug resistance of HIV type 1 in patients within late-stage infection in ,"CHEN,S., CAI,W.P., VIDAL,N., HE,J.Y., HE,X.L. and ",,
,,,,1,Phylogenetic analysis of full-length env gene from 2 plasma donors and hemophiliacs infected with Ko,"Cho,Y.-K.",,
,,,,1,Association of high frequency of gross deletions in the pol and 5 LTR/gag genes with Korean red gins,"Cho,Y.-K.",,
,,,,1,Phylogenetic Analysis of Near Full-Length Genomic Sequences of HIV-1 in 20 Long-Term Slow Progressor,"Cho,Y.-K.",,
,,,,1,"Long term follow up of HIV-infected Korean haemophiliacs, after infection from a common source of vi","Cho,Y.K. and Kim,B.R.",,
,,,,1,Direct Submission,"Clewley,J.P.",,
,,,,1,A novel HIV1-O strain illustrates the diversity of the O group,"Cohen,J.H.M., Guetard,D., Philbert,F., Chamaret,S.",,
,,,,1,HIV-1 p24 vaccine protects cats against FIV,"Coleman,J.K., Pu,R., Martin,M., Tanabe,M.A., Sato,",,
,,,,1,"Regional Subtype Distribution in Rakai, Uganda","Collinson-Streng,A.N., Redd,A.D., Sewankambo,N.K.,",,
,,,,1,Molecular tracing of HIV type 1 transmission in Hainan province of China,"Deng,W., Bao,L., Fu,P., Lu,W. and Qin,C.",,
,,,,1,Direct Submission,"Desai,A., Gurjar,S. and Ravi,V.",,
,,,,1,Direct Submission,"Desai,A., Gurjar,S. and Ravi,V.",,
,,,,1,Direct Submission,"Desai,A., Gurjar,S., Mangaiarkarasi,A., Ranga,U. a",,
,,,,1,Direct Submission,"Desai,A., Gurjar,S.R. and Ravi,V.",,
,,,,1,Direct Submission,"Desai,A., Gurjar,S.R. and Ravi,V.",,
,,,,1,"HIV-2 isolate NNVB-HIV-2 from India, partial genome","Desai,A., Gurjar,S.R., Mangaiarkarasi,A., Ranga,U.",,
,,,,1,Direct Submission,"Diaz,R.S., deOliveira,C.F. and Busch,M.P.",,
,,,,1,Use of dried blood spots for HIV-1 drug resistance genotyping in decentralized settings in Senegal,"Diouara,A.A.M., Diop-Ndiaye,H., Tchiakpe,E., Kebe,",,
,,,,1,HIV-1(ADA)-MA(p17),"Dubrovsky,L., Pushkarsky,T. and Bukrinsky,M.",,
,,,,1,HIV molecular epidemiology in Belarus,"Eremin,V.F. and Gasich,E.L.",,
,,,,1,HIV-1 molecular epidemiology in Belarus,"Eremin,V.F., Gasich,E.L. and Sosinovich,S.V.",,
,,,,1,HIV-subtype A from Gomel region,"Eremin,V.F., Gasich,E.L., Sasinovich,S.V. and Suet",,
,,,,1,"HIV- molecular epidemiology in Belarus, 2008-2011","Eremin,V.F., Gasich,E.L., Sasinovich,S.V., Suetnov",,
,,,,1,CRF02_A/G isolated from patient on HAART with NRTIs and NNRTIs high level resistance,"Eremin,V.F., Gasich,E.L., Sosinovich,S.V. and Erem",,
,,,,1,HIV-1 subtype A with high level resistance to NRTIs and NNRTIs,"Eremin,V.F., Gasich,E.L., Sosinovich,S.V. and Erem",,
,,,,1,Tenofovir Disoproxil Fumarate based regimens associated with less nucleoside reverse transcriptase i,"Etiebet,M.-A., Carr,J.K., Shepherd,J., Gebi,U., Aj",,
,,,,1,Molecular Epidemiology of Human Immunodeficiency Virus Infected Individuals in Uruguay,"Eyzaguirre,L.M., Vinoles,J., Serra,M., Russi,J., M",,
,,,,1,Evalution of variations in HIV-1 protease gene sequence in order to provide a mechanism to predict d,"Farrokhi,M., Baesi,K. and Mohraz,M.",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Portion of p24 GAG gene HIV-1 proviral DNA from the peripheral blood leukocytes of Burkina Faso untr,"Ferraboli,S., Simpore,J., Bere,A.P., Nadembega,C.M",,
,,,,1,Drug-resistant mutants of human immunodeficiency virus type 1 persist at higher concentrations in pe,"Frenkel,L.M., Mahalanabis,M. and Ellis,G.M.",,
,,,,1,Recombination in human immunodefeciency virus type 2,"Gao,F.",,
,,,,1,Direct Submission,"Garaev,M.M. and Vasiliev,A.V.",,
,,,,1,Fragment of HIV-1 C subtype gag gene,"Garaev,M.M., Turbina,G.I. and Kirillova,L.D.",,
,,,,1,5 region of HIV-1 CRF02_AG subtype pol gene,"Garaev,M.M., Vasiliev,A.V., Sandzhiyeva,D.B. and S",,
,,,,1,Direct Submission,"Garaev,M.M., Vasiliev,A.V., Sandzhiyeva,D.B. and S",,
,,,,1,Human Immunodeficiency Virus type 1 complete genomic sequence,"Ghosh,S., Ghosh,E., Shaw,G.M. and Hahn,B.",,
,,,,1,Molecular epidemiology of HIV in the North of Vietnam,"Giang,N.H., Hien,N.T., Thang,P.H., Ha,H.T. and Thu",,
,,,,1,"Cloning, soluble expression in E. coli and immunoreactivity of HIV-1 CRF35_AD p24 protein from an Ir","Gorjipour,F., Farajollahi,M.M., Sharifi,Z. and Sam",,
,,,,1,Cloning and Sequencing of HIV-1 Gag (B-subtype) from Indian Strain,"Gupta,S., Arora,K., Gupta,A. and Chaudhary,V.K.",,
,,,,1,Characterization of Resistance Associated Mutations in Treatment Naive Patients from San Luis Potosi,"Hernandez-Sanchez,P.G. and Garcia-Sepulveda,C.A.",,
,,,,1,Direct Submission,"Hirsch,V.M., Murphey-Corb,M. and Johnson,P.R.",,
,,,,1,Negative line immunoassay in a HIV-1 subtype D- infected patient with positive serological tests for,"Holguin,A.",,
,,,,1,"Impact of exposure to lopinavir-ritonavir in HIV-1 infected children and adolescents in Madrid, Spai","Holguin,A., Rojas Sanchez,P., Prieto,L., Fernandez",,
,,,,1,HIV-1 transmitting couples have similar viral load set-points,"Hollingsworth,T., Laeyendecker,O., Donnelly,C., Se",,
HSA6aZBYNKudhFjKCIxGlgjw,PM27314585,27314585,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Baalwa,J., Hahn,B., Shaw,G., Den",,
HSA6aZBYNKudhFjKCIxGlgjw,PM27314585,27314585,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Busch,M., Laperche,S., Denny,T.N",,
HSA6aZBYNKudhFjKCIxGlgjw,PM27314585,27314585,,1,Characterization of near full-length genome sequences for standard panels of HIV-2 isolates establis,"Hora,B., Chen,Y., Denny,T.N. and Gao,F.",,
,,,,1,HIV detected in macaque monkeys,"Huang,F., Yang,C. and Bi,Y.",,
,,,,1,Primary infections with Human Immunodeficiency Virus Type 1 of women and their offspring in Rwanda: ,"Kampinga,G.A., Simonon,A., van de Perre,P., Karita",,
,,,,1,Genetic Characterization of a Unique Recombinant Form(URF) Involving HIV-1 CRF 01_AE and Subtype C f,"Karade,S., Pandey,S.S., Gianchandani,S., Kurle,S. ",,
,,,,1,"Envelope co-receptor tropism, drug resistance, and viral evolution among subtype C HIV-1 infected in","Kassaye,S., White,E., McColgan,B., Kantor,R., Zije",,
,,,,1,Genetic Diversity of HIV-1 Subtypes Circulating in Northern Kenya,"Khamadi,S.A., Ochieng,W., Lihana,R.W., Kiptoo,M.K.",,
,,,,1,Predictors for recombinant HIV infection in a Thai cohort,"Khawcharoenporn,T., Apisarnthanarak,A., Gesprasert",,
,,,,1,Sequence of HIV-1 isolate 01IN565.13 from India,"Khurana,S., Patel,A., Kulkarni,S.S., Tripathy,S.P.",,
,,,,1,Sequence of HIV-1 isolate 01IN565.11 from India,"Khurana,S., Patel,A., Kulkarni,S.S., Tripathy,S.P.",,
,,,,1,Sequence of HIV-1 isolate 01IN565.14 from India,"Khurana,S., Patel,A., Kulkarni,S.S., Tripathy,S.P.",,
,,,,1,Development and application of a high-throughput HIV-1 genotyping assay to identify CRF02_AG in West,"Kijak,G.H. and McCutchan,F.E.",,
,,,,1,TRIM5 and interspecies transmission of primate immunodeficiency viruses,"Kirmaier,A.",,
,,,,1,Real time loop-mediated isothermal amplification (RTLAMP) as a point of care assay using dried blood,"Lavanya,v. and Lakshmi,V.",,
,,,,1,Direct Submission,"Lavnya,V. and Lakshmi,V.",,
,,,,1,Direct Submission,"Matteoli,B., Scaccino,A., Bontempo,L. and Ceccheri",,
,,,,1,Direct Submission,"Matteoli,B., Scaccino,A., Bontempo,L. and Ceccheri",,
,,,,1,Role of CTL-mediated immune selection in a dominant HLA-B8-restricted CTL epitope in Nef,"Maurer,K., Harrer,E.G., Goldwich,A., Eismann,K., B",,
,,,,1,Role of CTL-mediated immune selection in a dominant HLA-B8-restricted CTL epitope in Nef,"Maurer,K., Harrer,E.G., Goldwich,A., Eismann,K., B",,
,,,,1,Evaluation of mutation profile of protease gene in confirmed HIV-1 infected patients Presenting with,"Misbah,M., Shahid,M., Roy,G., Nag,N., Kumar,S. and",,
,,,,1,Molecular cloning of p24 core nucleocapsid protein gene from Human immunodeficiency virus 1 of India,"Mukhopadhyaya,P.N., Acharya,A., Chavan,Y.G. and Pu",,
,,,,1,Establishment of highly sensitive real-time PCR method for detection HIV-1 DNA in patients with HIV-,"Nagai,H., Wada,K., Morishita,T., Utsumi,M., Nishiy",,
,,,,1,Cloning and expression of the gene coding for p24 protein from HIV infected patient,"Nhu Quynh,B.T., Minh Tuan,P., Thanh Tung,N., Thi T",,
,,,,1,Direct Submission,"Oelrichs,R.B.",,
,,,,1,Sequence of HIV-1 subtype A/E polymerase gene,"Oelrichs,R.B.",,
,,,,1,"Appendix 2: Retroviral taxonomy, protein structure, sequences, and genetic maps","Petropoulos,C.J.",,
,,,,1,Direct Submission,"Plantier,J.C., Leoz,M., Dickerson,J.E., De Oliveir",,
,,,,1,Enhancement of cell-mediated immune responses in mice by the model of a whole HIV-1 gag in live Myco,"Promkhatkaew,D., Pinyosukhee,N., Pansuwannakit,L.,",,
,,,,1,Direct Submission,"Raymond,F., Robitaille,L., Aubertin,A.-M., Laforge",,
,,,,1,Evaluation of two commercial kits for testing genotypic drug-resistance on a panel of human immunode,"Riva,C., Fontaine,E., Peeters,M., Delaporte,E., Sc",,
,,,,1,Phylogenetic analysis and subtyping of 47 HIV-1 group O isolates,"Roques,P., Robertson,D., Sousquiere,S., Damond,F.,",,
,,,,1,Rapid and simple characterization of in vivo HIV-1 sequences using solid phase direct sequencing,"Salminen,M.O.",,
,,,,1,"Clinical, Virologic and Immunological Outcomes in a Cohort of Long-Term Non-Progressor HIV Infected ","Santos,J.S., Ribeiro,C.E., Almeida,S.M. and Raboni",,
,,,,1,"HIV-1 recombinants among Manipur IDUs, India","Sarkar,R. and Chakrabarti,S.",,
,,,,1,Drug Resistance of HIV in the Philippines,"Schwem,B. and Salvana,E.M.",,
,,,,1,"Characterization of HIV-1 full length gag gene from FSW of Kolkata, India","Sengupta,S. and Chakrabarti,S.",,
,,,,1,High diversity of HIV type in Manipur,"Sharma,L.A., Singh,R.T. and Singh,S.L.",,
,,,,1,Genetic diversity of HIV-1 in a group of intravenous drug users living in Portugal,"Silva,A.F. and Padua,E.R.",,
,,,,1,Direct Submission,"Smith,J.M., Kraiselburd,E.N. and Torres,J.V.",,
,,,,1,Characterization of Four Newly Derived HIV-1 Group Nand Two SIVcpz Strains from Cameroon,"Souquiere,S., Roques,P., Muller-Trutwin,M., Ayouba",,
,,,,1,Human immunodeficiency virus type 1 subtype B# dictates the AIDS epidemic among paid blood donors in,"Su,B., Liu,L., Wang,F., Gui,X., Zhao,M., Tien,P., ",,
,,,,1,"Complete SIVcpz genome sequence from Pan troglodytes schweinfurthii feces from Gombe National Park, ","Takehisa,J., Kraus,M.H., Keele,B.F., Learn,G.H. an",,
,,,,1,Complete SIVcpz genome from Pan troglodytes troglodytes feces from Cameroon,"Takehisa,J., Kraus,M.H., Li,Y., Learn,G.H., Peeter",,
,,,,1,Construction and characterization of an infectious molecular clone of HIV-1 subtype B isolated from ,"Tan,J., Zhang,W., Liu,P., Tong,X. and Yang,R.",,
,,,,1,HIV pol sequencing,"Tanuma,J.",,
,,,,1,Construction and characterization of HIV-1 laboratory strain Ba-L infectious molecular clones,"Tatsumi,M., Kusagawa,S. and Takebe,Y.",,
,,,,1,Third line regimens prediction among the Senegalese HIV-1 infected patients failing second line anti,"Tchiakpe,E., Diouara,A.A.M., Thiam,M., Leye,N., Di",,
,,,,1,The First Glance at the HLA Class I-Associated Immunopeptidome from HIV-1-Infected Cells,"Ternette,N., Yang,H., Partridge,T., Llano,A., Cede",,
,,,,1,Performance of Viroseq HIV-1 Genotyping System on Senegalese Strains,"Thiam,M., Diop-Ndiaye,H. and Toure-Kane,C.",,
,,,,1,A phase I/II comparative vaccine trial of the safety and immunogenicity of a CRF01_AE (subtype E) ca,"Thongcharoen,P., Suriyanon,V., Paris,R.M., Khamboo",,
,,,,1,Direct Submission,"Tongo Passo,M.",,
,,,,1,Direct Submission,"Torimiro,J., Nanfack,A., Salpini,R. and Takou,D.",,
,,,,1,"Molecular epidemiology of HIV-1 in Novosibirsk region, Russia","Totmenin,A.V., Baryshev,P.B., Bogatchev,V.V. and G",,
,,,,1,Full Genome Characterization of HIV-1 subtype B from Thailand,"Tovanabutra,S., Sanders-Buell,E., Mark,d.S.S., McC",,
,,,,1,The 4.2kb NC-p6-Pol-Vif-Vpr Gene of the HIV-1 CRF07_BC Subtype is Associated with Lower Multiplicati,"Tseng,F.-C., Wang,J.-C. and Lin,Y.-C.",,
,,,,1,Direct Submission,"Van Zyl,G.",,
,,,,1,Direct Submission,"Vasilyev,A., Bobkova,M. and Kazennova,E.",,
,,,,1,"Presence of HIV-1 genotype C in Kuwait, Ethiopia and India","Voevodin,A., Seth,P. and Al Mufti,S.",,
,,,,1,Molecular Epidemiology of HIV-1 in Preparation for a Phase III Prime-boost Vaccine Trial in Thailand,"Watanaveeradej,V., Benenson,M.W., DeSouza,M., Siri",,
,,,,1,Direct Submission,"Watanaveeradej,V., de Souza,M.S., Benenson,M.W., S",,
,,,,1,Reference sequence used by Monogram Biosciences for genotyping assays of HIV,"Whitcomb,J.",,
,,,,1,"Genetic diversity of HIV-1 circulating in Zhejiang province, China","Zhang,J., Pan,X. and Guo,Z.",,
,,,,1,"Cultured HIV-1, Group M, Subtype A","Zhang,Y., Ewell,M., Lathey,J. and Manak,M.",,
,,,,1,HIV-1 gag region sequence from China,"Zhu,H.",,
PM10052760,,10052760,,2,Virtually full-length sequences of HIV type 1 subtype J reference strains,"Laukkanen,T., Albert,J., Liitsola,K., Green,S.D., ",,
PM10081673,,10081673,,27,Dual and recombinant infections: an integral part of the HIV-1 epidemic in Brazil,"Ramos,A., Tanuri,A., Schechter,M., Rayfield,M.A., ",,
PM10082124,,10082124,,2,A predominantly HIV type 1 subtype C-restricted epidemic in South African urban populations,"Van Harmelen,J.H., Van der Ryst,E., Loubser,A.S., ",,
PM10195759,,10195759,,26,DNA sequence of the long terminal repeat of human immunodeficiency virus type 1 subtype A through G,"Naghavi,M.H., Salminen,M.O., Sonnerborg,A. and Vah",,
PM10196244,,10196244,,5,Evolution and biological characterization of human immunodeficiency virus type 1 subtype E gp120 V3 ,"Sato,H., Shiino,T., Kodaka,N., Taniguchi,K., Tomit",,
PM10196293,,10196293,,99,Frequent detection of escape from cytotoxic T-lymphocyte recognition in perinatal human immunodefici,"Wilson,C.C., Brown,R.C., Korber,B.T., Wilkes,B.M.,",,
PM10196337,,10196337,,2,"Subtypes of human immunodeficiency virus type 1 and disease stage among women in Nairobi, Kenya","Neilson,J.R., John,G.C., Carr,J.K., Lewis,P., Krei",,
PM10196340,,10196340,,23,Molecular cloning and phylogenetic analysis of human immunodeficiency virus type 1 subtype C: a set ,"Novitsky,V.A., Montano,M.A., McLane,M.F., Renjifo,",Naive,
PM10207543,,10207543,,2,Interpatient genetic variability of HIV-1 group O,"Janssens,W., Heyndrickx,L., Van der Auwera,G., Nke",,
PM10221535,,10221535,,1,Full-length genomic sequence of an HIV type 1 subtype G from Kinshasa,"Oelrichs,R.B., Vandamme,A.M., Van Laethem,K., Deby",,
PM10331444,,10331444,,72,"Genetic heterogeneity of HIV type 1 subtypes in Kimpese, rural Democratic Republic of Congo","Mokili,J.L., Wade,C.M., Burns,S.M., Cutting,W.A., ",,
PM10357470,,10357470,,2,Molecular analysis of the full-length genome of HIV type 1 subtype I: evidence of A/G/I recombinatio,"Nasioulas,G., Paraskevis,D., Magiorkinis,E., Theod",,
PM10364382,,10364382,,29,Reappearance of founder virus sequence in human immunodeficiency virus type 1-infected patients,"Karlsson,A.C., Gaines,H., Sallberg,M., Lindback,S.",,
PM10364493,,10364493,,10,High diversity of HIV-1 subtype F strains in Central Africa,"Triques,K., Bourgeois,A., Saragosti,S., Vidal,N., ",,
PM10408724,,10408724,,166,Characterization of mother-infant HIV type 1 gag p17 sequences associated with perinatal transmissio,"Hahn,T., Matala,E., Chappey,C. and Ahmad,N.",,
PM10438826,,10438826,,1,Characterization of a highly replicative intergroup M/O human immunodeficiency virus type 1 recombin,"Peeters,M., Liegeois,F., Torimiro,N., Bourgeois,A.",,
PM10438863,,10438863,,1,Simian immunodeficiency virus (SIV) from sun-tailed monkeys (Cercopithecus solatus): evidence for ho,"Beer,B.E., Bailes,E., Goeken,R., Dapolito,G., Coul",,
PM10461833,,10461833,,8,Domestic transmission of HIV type 1 subtype G strains in Taiwan,"Lee,C.N., Chen,M.Y., Fan,W.S., Twu,S.J. and Lin,R.",,
PM10480629,,10480629,,17,Genetic similarity of HIV type 1 subtype E in a recent outbreak among injecting drug users in northe,"Kato,K., Shiino,T., Kusagawa,S., Sato,H., Nohtomi,",,
PM10482050,,10482050,,9,Identification of human immunodeficiency virus type 1 subtypes B and F B/F recombinant and dual infe,"Fernandez-Medina,D., Jansson,M., Rabinovich,R.D., ",,
PM10482626,,10482626,,169,Mosaic structure of the human immunodeficiency virus type 1 genome infecting lymphoid cells and the ,"Morris,A., Marsden,M., Halcrow,K., Hughes,E.S., Br",,
PM10505681,,10505681,,1,An infectious DNA clone of HIV type 1 subtype C,"Mochizuki,N., Otsuka,N., Matsuo,K., Shiino,T., Koj",,
PM10509561,,10509561,,100,Emerging recombinant human immunodeficiency viruses: uneven representation of the envelope V3 region,"Renjifo,B., Gilbert,P., Chaplin,B., Vannberg,F., M",,
PM10513639,,10513639,,7,Characterization of subtype A HIV-1 from Africa by full genome sequencing,"Carr,J.K., Laukkanen,T., Salminen,M.O., Albert,J.,",,
PM10559335,,10559335,,103,"Efficient processing of the immunodominant, HLA-A*0201-restricted human immunodeficiency virus type ","Brander,C., Yang,O.O., Jones,N.G., Lee,Y., Goulder",,
PM10580409,,10580409,,20,Circulation of subtype A and gagA/envB recombinant HIV type 1 strains among injecting drug users in ,"Lukashov,V.V., Huismans,R., Rakhmanova,A.G., Lisit",,
PM10580410,,10580410,,1,An unusual HIV type 1 env sequence embedded in a mosaic virus from Cameroon: identification of a new,"Roques,P., Menu,E., Narwa,R., Scarlatti,G., Tresol",,
PM10580411,,10580411,,5,Differential stability of the mRNA secondary structures in the frameshift site of various HIV type 1,"Chang,S.Y., Sutthent,R., Auewarakul,P., Apichartpi",,
PM10590125,,10590125,,242,Simplified strategy for detection of recombinant human immunodeficiency virus type 1 group M isolate,"Heyndrickx,L., Janssens,W., Zekeng,L., Musonda,R.,",,
PM10590144,,10590144,,1,env sequences of simian immunodeficiency viruses from chimpanzees in Cameroon are strongly related t,"Corbet,S., Muller-Trutwin,M.C., Versmisse,P., Dela",,
PM10606093,,10606093,,1,Sequence features downstream of the primer-binding site of HIV type 1 subtype E shared by subtype G ,"Chang,S.Y., Apichartpiyakul,C., Kuiken,C.L., Essex",,
PM10606094,,10606094,,4,The identification of a complex A/G/I/J recombinant HIV type 1 virus in various West African countri,"Montavon,C., Bibollet-Ruche,F., Robertson,D., Koum",,
