Accession,Subtype,SamplingYear,PubMedID,Title,Authors,PubYear
FJ606296,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606297,CF1U,2002,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606298,C,2002,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606299,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606300,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606301,C,2002,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606302,C,2002,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606303,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606304,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606305,C,2002,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606306,C,2002,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606307,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606308,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606309,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606310,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606311,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606312,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606313,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606314,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606315,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606316,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606317,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606318,U,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606319,U,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606320,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606321,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606322,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606323,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606324,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606325,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606326,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606327,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606328,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606329,C,2003,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606330,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606331,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606332,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
FJ606333,C,2004,19242411,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",2009
