Accession,Subtype,SamplingYear,PubMedID,Title,Authors,PubYear
DQ396387,C,2004,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396388,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396389,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396390,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396391,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396392,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396393,C,2004,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396394,C,2004,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396395,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396398,B,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396399,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ396400,A1,2004,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ398881,C,,,HIV-1 Subtype C envelope gene,"Khan,I.Fatima., Vajpayee,M. and Seth,P.",
DQ400856,06_cpx,2005,,Sequencing and analysis of full-length HIV-1 CRF06_cpx isolate from Russia,"Galkin,A.N., Gagarina,E.Y. and Lukyanova,N.S.",
DQ401572,B,1999,,Constraints on HIV-1 evolution and immunodominance revealed in monozygotic adult twins infected with the same virus,"Draenert,R., Allen,T.M., Lui,Y., Wrin,T., Chappey,C., Verrill,C.L., Sirera,G., Eldridge,R.L., Lahaie,M.P., Ruiz,L., Clotet,B., Petropoulos,C.J., Walker,B.D. and Martinez-Picado,J.",
DQ401599,B,1999,,Constraints on HIV-1 evolution and immunodominance revealed in monozygotic adult twins infected with the same virus,"Draenert,R., Allen,T.M., Lui,Y., Wrin,T., Chappey,C., Verrill,C.L., Sirera,G., Eldridge,R.L., Lahaie,M.P., Ruiz,L., Clotet,B., Petropoulos,C.J., Walker,B.D. and Martinez-Picado,J.",
DQ401638,B,2000,,Constraints on HIV-1 evolution and immunodominance revealed in monozygotic adult twins infected with the same virus,"Draenert,R., Allen,T.M., Lui,Y., Wrin,T., Chappey,C., Verrill,C.L., Sirera,G., Eldridge,R.L., Lahaie,M.P., Ruiz,L., Clotet,B., Petropoulos,C.J., Walker,B.D. and Martinez-Picado,J.",
DQ404010,C,,,"Characterization of envelope gene of HIV-1 strain from Calcutta, India","Bhanja,P. and Chakrabarti,S.",
DQ410040,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410062,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410069,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410087,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410101,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410109,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410129,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410179,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410217,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410226,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410243,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410284,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410323,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410369,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410404,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410424,B,2003,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410479,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410511,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410527,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410528,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410542,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410560,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410573,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410588,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410607,B,2005,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ410619,B,2004,16641269,Neutralizing antibodies do not mediate suppression of human immunodeficiency virus type 1 in elite suppressors or selection of plasma virus variants in patients on highly active antiretroviral therapy,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N. and Siliciano,R.F.",2006
DQ411853,C,1998,16971434,Genetic and neutralization properties of subtype C human immunodeficiency virus type 1 molecular env clones from acute and early heterosexually acquired infections in Southern Africa,"Li,M., Salazar-Gonzalez,J.F., Derdeyn,C.A., Morris,L., Williamson,C., Robinson,J.E., Decker,J.M., Li,Y., Salazar,M.G., Polonis,V.R., Mlisana,K., Karim,S.A., Hong,K., Greene,K.M., Bilska,M., Zhou,J., Allen,S., Chomba,E., Mulenga,J., Vwalika,C., Gao,F., Zhang,M., Korber,B.T., Hunter,E., Hahn,B.H. and Montefiori,D.C.",2006
DQ422948,C,2002,16971434,Genetic and neutralization properties of subtype C human immunodeficiency virus type 1 molecular env clones from acute and early heterosexually acquired infections in Southern Africa,"Li,M., Salazar-Gonzalez,J.F., Derdeyn,C.A., Morris,L., Williamson,C., Robinson,J.E., Decker,J.M., Li,Y., Salazar,M.G., Polonis,V.R., Mlisana,K., Karim,S.A., Hong,K., Greene,K.M., Bilska,M., Zhou,J., Allen,S., Chomba,E., Mulenga,J., Vwalika,C., Gao,F., Zhang,M., Korber,B.T., Hunter,E., Hahn,B.H. and Montefiori,D.C.",2006
DQ435682,C,2005,16971434,Genetic and neutralization properties of subtype C human immunodeficiency virus type 1 molecular env clones from acute and early heterosexually acquired infections in Southern Africa,"Li,M., Salazar-Gonzalez,J.F., Derdeyn,C.A., Morris,L., Williamson,C., Robinson,J.E., Decker,J.M., Li,Y., Salazar,M.G., Polonis,V.R., Mlisana,K., Karim,S.A., Hong,K., Greene,K.M., Bilska,M., Zhou,J., Allen,S., Chomba,E., Mulenga,J., Vwalika,C., Gao,F., Zhang,M., Korber,B.T., Hunter,E., Hahn,B.H. and Montefiori,D.C.",2006
DQ435683,C,2005,16971434,Genetic and neutralization properties of subtype C human immunodeficiency virus type 1 molecular env clones from acute and early heterosexually acquired infections in Southern Africa,"Li,M., Salazar-Gonzalez,J.F., Derdeyn,C.A., Morris,L., Williamson,C., Robinson,J.E., Decker,J.M., Li,Y., Salazar,M.G., Polonis,V.R., Mlisana,K., Karim,S.A., Hong,K., Greene,K.M., Bilska,M., Zhou,J., Allen,S., Chomba,E., Mulenga,J., Vwalika,C., Gao,F., Zhang,M., Korber,B.T., Hunter,E., Hahn,B.H. and Montefiori,D.C.",2006
DQ435684,C,2005,16971434,Genetic and neutralization properties of subtype C human immunodeficiency virus type 1 molecular env clones from acute and early heterosexually acquired infections in Southern Africa,"Li,M., Salazar-Gonzalez,J.F., Derdeyn,C.A., Morris,L., Williamson,C., Robinson,J.E., Decker,J.M., Li,Y., Salazar,M.G., Polonis,V.R., Mlisana,K., Karim,S.A., Hong,K., Greene,K.M., Bilska,M., Zhou,J., Allen,S., Chomba,E., Mulenga,J., Vwalika,C., Gao,F., Zhang,M., Korber,B.T., Hunter,E., Hahn,B.H. and Montefiori,D.C.",2006
DQ444258,B,,16699001,Evidence for potent autologous neutralizing antibody titers and compact envelopes in early infection with subtype C human immunodeficiency virus type 1,"Li,B., Decker,J.M., Johnson,R.W., Bibollet-Ruche,F., Wei,X., Mulenga,J., Allen,S., Hunter,E., Hahn,B.H., Shaw,G.M., Blackwell,J.L. and Derdeyn,C.A.",2006
DQ444260,B,,16699001,Evidence for potent autologous neutralizing antibody titers and compact envelopes in early infection with subtype C human immunodeficiency virus type 1,"Li,B., Decker,J.M., Johnson,R.W., Bibollet-Ruche,F., Wei,X., Mulenga,J., Allen,S., Hunter,E., Hahn,B.H., Shaw,G.M., Blackwell,J.L. and Derdeyn,C.A.",2006
DQ445632,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ445633,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ445634,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ445635,C,2003,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ445636,C,2004,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ445637,C,2004,16701907,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",2006
DQ447266,C,1999,16834457,Insensitivity of paediatric HIV-1 subtype C viruses to broadly neutralising monoclonal antibodies raised against subtype B,"Gray,E.S., Meyers,T., Gray,G., Montefiori,D.C. and Morris,L.",2006
DQ447267,C,1999,16834457,Insensitivity of paediatric HIV-1 subtype C viruses to broadly neutralising monoclonal antibodies raised against subtype B,"Gray,E.S., Meyers,T., Gray,G., Montefiori,D.C. and Morris,L.",2006
DQ447268,C,1999,16834457,Insensitivity of paediatric HIV-1 subtype C viruses to broadly neutralising monoclonal antibodies raised against subtype B,"Gray,E.S., Meyers,T., Gray,G., Montefiori,D.C. and Morris,L.",2006
DQ447269,C,2002,16834457,Insensitivity of paediatric HIV-1 subtype C viruses to broadly neutralising monoclonal antibodies raised against subtype B,"Gray,E.S., Meyers,T., Gray,G., Montefiori,D.C. and Morris,L.",2006
DQ447270,C,2002,16834457,Insensitivity of paediatric HIV-1 subtype C viruses to broadly neutralising monoclonal antibodies raised against subtype B,"Gray,E.S., Meyers,T., Gray,G., Montefiori,D.C. and Morris,L.",2006
DQ447272,C,1999,16834457,Insensitivity of paediatric HIV-1 subtype C viruses to broadly neutralising monoclonal antibodies raised against subtype B,"Gray,E.S., Meyers,T., Gray,G., Montefiori,D.C. and Morris,L.",2006
DQ448819,B,,,Genetic and functional analysis of HIV-1 envelope from long-term non-progressors,"Martinez-Prats,L. and Delgado,R.",
DQ487188,B,1993,17331038,Genomic analysis of HIV type 1 strains derived from a mother and child pair of long-term nonprogressors,"Reinis,M., Weiser,B., Kuiken,C., Dong,T., Lang,D., Nachman,S., Zhang,Y., Rowland-Jones,S. and Burger,H.",2007
DQ487190,B,1993,17331038,Genomic analysis of HIV type 1 strains derived from a mother and child pair of long-term nonprogressors,"Reinis,M., Weiser,B., Kuiken,C., Dong,T., Lang,D., Nachman,S., Zhang,Y., Rowland-Jones,S. and Burger,H.",2007
DQ518410,01_AE,,19303619,Maternal neutralizing antibodies against a CRF01_AE primary isolate are associated with a low rate of intrapartum HIV-1 transmission,"Samleerat,T., Thenin,S., Jourdain,G., Ngo-Giang-Huong,N., Moreau,A., Leechanachai,P., Ithisuknanth,J., Pagdi,K., Wannarit,P., Sangsawang,S., Lallemant,M., Barin,F. and Braibant,M.",2009
DQ518411,01_AE,,19303619,Maternal neutralizing antibodies against a CRF01_AE primary isolate are associated with a low rate of intrapartum HIV-1 transmission,"Samleerat,T., Thenin,S., Jourdain,G., Ngo-Giang-Huong,N., Moreau,A., Leechanachai,P., Ithisuknanth,J., Pagdi,K., Wannarit,P., Sangsawang,S., Lallemant,M., Barin,F. and Braibant,M.",2009
DQ518412,01_AE,1994,19303619,Maternal neutralizing antibodies against a CRF01_AE primary isolate are associated with a low rate of intrapartum HIV-1 transmission,"Samleerat,T., Thenin,S., Jourdain,G., Ngo-Giang-Huong,N., Moreau,A., Leechanachai,P., Ithisuknanth,J., Pagdi,K., Wannarit,P., Sangsawang,S., Lallemant,M., Barin,F. and Braibant,M.",2009
DQ672623,B,2005,16987968,Entire genome of a strain of human immunodeficiency virus type 1 with a deletion of nef that was recovered 20 years after primary infection: large pool of proviruses with deletions of env,"Calugi,G., Montella,F., Favalli,C. and Benedetto,A.",2006
DQ676870,B,2003,17065207,Rapid reversion of sequence polymorphisms dominates early human immunodeficiency virus type 1 evolution,"Li,B., Gladden,A.D., Altfeld,M., Kaldor,J.M., Cooper,D.A., Kelleher,A.D. and Allen,T.M.",2007
DQ676872,A1,2003,17065207,Rapid reversion of sequence polymorphisms dominates early human immunodeficiency virus type 1 evolution,"Li,B., Gladden,A.D., Altfeld,M., Kaldor,J.M., Cooper,D.A., Kelleher,A.D. and Allen,T.M.",2007
DQ676874,B,2002,17065207,Rapid reversion of sequence polymorphisms dominates early human immunodeficiency virus type 1 evolution,"Li,B., Gladden,A.D., Altfeld,M., Kaldor,J.M., Cooper,D.A., Kelleher,A.D. and Allen,T.M.",2007
DQ676877,B,2003,17065207,Rapid reversion of sequence polymorphisms dominates early human immunodeficiency virus type 1 evolution,"Li,B., Gladden,A.D., Altfeld,M., Kaldor,J.M., Cooper,D.A., Kelleher,A.D. and Allen,T.M.",2007
DQ676880,B,2003,17065207,Rapid reversion of sequence polymorphisms dominates early human immunodeficiency virus type 1 evolution,"Li,B., Gladden,A.D., Altfeld,M., Kaldor,J.M., Cooper,D.A., Kelleher,A.D. and Allen,T.M.",2007
DQ676883,B,2002,17065207,Rapid reversion of sequence polymorphisms dominates early human immunodeficiency virus type 1 evolution,"Li,B., Gladden,A.D., Altfeld,M., Kaldor,J.M., Cooper,D.A., Kelleher,A.D. and Allen,T.M.",2007
DQ676886,B,2003,17065207,Rapid reversion of sequence polymorphisms dominates early human immunodeficiency virus type 1 evolution,"Li,B., Gladden,A.D., Altfeld,M., Kaldor,J.M., Cooper,D.A., Kelleher,A.D. and Allen,T.M.",2007
DQ823356,A6,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
DQ823357,A6,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
DQ823358,A6,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
DQ823359,A6,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
DQ823360,A6,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
DQ823361,A6,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
DQ823362,B,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
DQ823363,B,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
DQ823364,B,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
DQ823365,A6,2001,16910825,Molecular Epidemiology of HIV Type 1 in Ukraine: Birthplace of an Epidemic,"Saad,M.D., Shcherbinskaya,A.M., Nadai,Y., Kruglov,Y.V., Antonenko,S.V., Lyulchuk,M.G., Kravchenko,O.N., Earhart,K.C., Sanchez,J.L., Brix,D.L. and Carr,J.K.",2006
